,name,travel_time_gmaps,gmaps_route
0,"River Street , Clerkenwell",20.66666667,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAGR@BFFCJgBsA{BqB{@eAwAaCsAqCg@aBg@eBU{@gAuFk@kEY_Cc@mEOgCQeFCgGDgIAwF?}@E_@E[?uA?{EA[K{@[mAUs@CM}@eAMEkAD_B@UGaA@u@?}@FM@[Ri@J{ANiALOGe@BiBZmAJ}C`@oAPwCd@sALo@BeEx@iBd@kDlAe@Ry@h@gCtBsBxBoCxDi@p@oAxB_@|@eApA{@lAMGwA_@a@S[a@a@{@qBcE}@uAsBhCOVi@z@o@t@u@VaBf@q@TCa@EMGU
1,"Phillimore Gardens, Kensington",31.28333333,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAFD~BpBNJGRWnB]dCqB~Q?`@GnAPTJZDb@?LHRbAlBFLPl@@TAJHVpCbJZhA[`@bKj]pCxIrAjDfAlCOROZM`@Kj@Er@An@HpAVhA`@rAPTKzFIlL[bQI`E@^DvAAr@DNJRPjAAx@ONIj@EnBm@VMHEDEpASNyAr@ADPXWf@?rCIvTMbUa@ti@OlRDfKLzD@r@?l@^VUp@Wj@c@~@UxEkAvTc@bJA~B\bR?p@N`Bd@hG\hEAh@d@bFVK\xCn@jH\QFf@ZlBT~ATdCf@`GdGwFpAzErA|DvCfLl@i@
2,"Christopher Street, Liverpool Street",22.18333333,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAGR@BFFCJgBsA{BqB{@eAwAaCsAqCg@aBg@eBU{@gAuFk@kEY_Cc@mEOgCQeFCgGDgIAwF?}@E_@E[?uA?{EA[K{@[mAUs@CM}@eAMEkAD_B@UGaA@u@?}@FM@[Ri@J{ANiALOGe@BiBZmAJ}C`@oAP{@NUD?Q?YCUIm@AQs@gDoA_G{CtBqA}FOa@a@yB]eBE]NSr@m@jAw@Os@Qs@}@mEEk@Ow@I_@IOIOAMCg@sBkRy@{HNcCL}B\cFZyFFqCHgB@OIA_AOQOYE}AQXaGDM?SRkE
3,"St. Chad's Street, King's Cross",22.55,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAGR@BFFCJgBsA{BqB{@eAwAaCsAqCg@aBg@eBU{@gAuFk@kEY_Cc@mEOgCQeFCgGDgIAwF?}@E_@E[?uA?{EA[K{@[mAUs@CM}@eAMEkAD_B@UGaA@u@?}@FM@[Ri@J{ANiALOGe@BiBZmAJ}C`@oAPwCd@sALo@BeEx@iBd@kDlAe@Ry@h@iBzAHnB?t@H~CHjCA`A?|B@tBjA`LTfAm@^gCbBoBdB_BrAsDfE}CrDq@r@oBvAyB`Bg@XcBv@wAn@g@f@_@\w@p@nAfL@Pu@TEDSA_AKeDdDo@yB}@_D
4,"Sedding Street, Sloane Square",19.8,ewiyHxyVt_@rDjJlAfBp@vFbE^\tAjCDHBNCHE@CH@D|DvCfA`Az@n@Zj@\hAz@|Cj@vAf@v@b@t@TTzAdBrAdA~Av@jAl@n@t@d@bA\pAt@|D?`@Hx@PbBx@~H|AtO`@pEB~@AjAG~Aw@lHm@vFm@zGOdEGbBGlC?zANzC@|CE`CI^IpA?b@[NWZgAxAyArCgJbQsHtNKNQJaKlBAbACPKLMFQAQSEy@MqCESSa@o@N
5,"Broadcasting House, Marylebone",20.15,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAFD~BpBNJGRWnB]dCqB~Q?`@GnAPTJZDb@AXIVKJILGNK`AQpCUrEKfCtBbIkA~@GACAmAfAi@`@GACAmA`A}BpB}ApAu@p@ILCV^vBFbA@|@AnAQ`CIh@Md@_@x@Y\_ClB_CpBeHfGsBlBsAz@q@\g@LmBd@wCj@YJS?cGpBy@XOJUd@M\ANOh@I\HNFT?PCHACG?OF
6,"Charlbert Street, St. John's Wood",32.73333333,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAFD~BpBNJGRWnB]dCqB~Q?`@GnAPTJZDb@AXIVKJIBMCUSKc@A]M_@I_@UUQCWCgARo@?s@Gs@D]Jg@XWj@Uj@U\UXc@VQLi@DgADc@Aw@ASEaBNg@Bm@VeBr@yAx@[VmBt@_@JYFy@\kBh@s@`@UDSDc@Jk@Fa@Fk@FWB[HaAf@_@VmAvAkC`CiAdAaC~BwDdEyBzBeBzAo@p@aCrBsDnDeA`AeBrAyAv@QVWP_@XY^SRUJi@T_@FQDY?[H]Hk@DuEB}D?uAA?|A@xEB`QGxFgCJkAFc@HwGtBkAd@wDfAyHpCgEtAeBr@FDJRf@bBTrAgAb@_@Xm@|@i@xAe@zBiAbI?HBpAHvARhBxB|OhHxd@b@|Bd@`BqBzBc@f@OZrAbD\j@tA~Al@j@aAlD]hAq@tAu@nA`AzB
7,"Lodge Road, St. John's Wood",30.16666667,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAFD~BpBNJGRWnB]dCqB~Q?`@GnAPTJZDb@AXIVKJIBMCUSKc@A]M_@I_@UUQCWCgARo@?s@Gs@D]Jg@XWj@Uj@U\UXc@VQLi@DgADc@Aw@ASEaBNg@Bm@VeBr@yAx@V\FP^t@\`Al@|B|@jD]VoBtAeBbAZxBt@jCHLsBnAuFtDeBpAqBtAQHPrD^~HF^HrA@nAN|DRzCh@lIHPp@`Kh@dI`@rH\hFVxEJhC\tG`@fHd@tLkBj@}CfAuBv@eAd@wBt@qFjB_JxCmC`AmDtAsBx@kBn@gGrBoJjD_A`@k@^i@tAq@`CUn@mCzFu@nA{AxBYb@KXcBzBSJy@dAc@j@sAdBjAbDj@`Bv@dBxAtD
8,"New Globe Walk, Bankside",17.73333333,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAFD~BpBfB`AvAf@rDx@|IhB`En@~@Fd@Bn@?PGPMDIBUBMD_AJmLJaKGaA@oASAgKeDqCy@mCuAm@a@iAy@m@o@o@o@WUq@mAs@iBY{AOi@[sBo@aF{@qEm@sC_AkEu@qDMo@C]AoDG_AIe@]gAGi@AkAB}A?[zDB@eADaBCi@@[Ty@HUJG^iAf@gB^gBL]jAiGJq@KIqA[Sa@Sm@C_@IeDIkEaBaCc@{@Ic@LqBOC
9,"Park Street, Bankside",18.55,ewiyHxyVsMmA{JmAmMuBUHq@lAGZtBxAFD~BpBfB`AvAf@rDx@|IhB`En@~@Fd@Bn@?PGPMDIBUBMD_AJmLJaKGaA@oASAgKeDqCy@mCuAm@a@iAy@m@o@o@o@WUq@mAs@iBY{AOi@[sBo@aF{@qEm@sC_AkEu@qDMo@C]AoDG_AIe@]gAGi@AkAB}A?[zDB@eADaBCi@@[Ty@HUJG^iAf@gB^gBL]jAiGJq@KIqA[Sa@Sm@C_@IeDIkEaBaCc@{@Ic@LqBViBXiCHeAHqDj@{FxCB
