,name,osrm_route
0,"River Street , Clerkenwell",osjfaBnhmFu@xm@p@zOHvDKhUAzCE`EHzSMjJuDD}FGiFiBmQwAcZwCofAaReC[yzAwXeG_D_a@qHwOaFaNmEaGsAoF{BwEwBeFqDuFgDwBoAuBeAqDmBuQ}M{N_JcHiFyWkUoOoLgQaP_U_WiJyMuGsKuEoI{FpJoArEsBhCmBGqErBcQvP}GtGiRlVeE|EsH|GwBbCuHcXgKg_@_Jw\uF{SoCoJiBqGsEsMiBqCkBiBuCcB{OeB}M_BcHmBuGyCaEyCwJyIaDyDaD}EsHoO}BqFmIwNoDsBwCZoQtKicA~k@mCtAwDlBcX~OkVnNeY~PoOrI{BpAcM`HoY|PyTdMuAb@aBj@{EfAmFzAwRhG{BfAiHdFmCxAq\lL{BdAaDxCaFwJ_GkL{E}JoMsWgF}J_FoLmDuJqCuJoDoOaHa`@sNa|@kHkd@{AaIkFuTuBoMcF}_@iCeR_Jim@gJcm@y@iE}D{QkAuFmAmGkBwIaAyFyBmPiKeOgPiTsPiPsAaAgJmD_a@}MsToHse@{OuM_FuMgG{Y}MsJ{BkS{EyNuOgCeEwYel@}DwI{J}QwPiZoI~Is_@zf@yEvGkTr[qIxEiMpDcFdAmFlAgKnBeItBsBwG_BiH
1,"Phillimore Gardens, Kensington",osjfaBnhmFu@xm@p@zOHvDKhUAzCE`EHzSMjJGtHI`Fm@rJGfL\|KH`Ic@la@AdEDbDpA|FpCzBfD`@xHh@xDV`El@tB`@|BrBp@tBDdH?vIoA|`@y@`IiCtGwAl@eBJkWqAkEjAoBPqDbEoAlGWvJ}Bbx@FvI{@xXE`EKzDKhIEvGAjGCdPN`Gk@|HLlDlEpgAlHtzA`Cj`@n\|zGlAvThDpo@hDzo@c@bIF~Ee@fDw@bBmE`Doa@oPyFgC_Iy@oSyNgMyKcDJmCn@aDbDcDrEeA~Cy@tDe@fLf@`]JdQKjLQzSuCh|BcCjyAkGpnEb@x|@{DAOpKdBrNMnJQ|NOdGUlNGhDk@je@_@jEgCjDkO|GcAxIFxHAhIR|FGxChB\BfIX|Cx@vH|@jHdBvMzCpUlAdMvLbsATfEvCnn@fAdR^lI]vP~BlpAPvFlCtXhDxLrBnMlI`i@lErWbBfOp@`IPzGChFUzKEtCTl]DxGLjMHvGI|GaApKAzDKvWl@vlBy@r\]xG_Ctm@]`NQbRKni@AjNCrIBjXi@ba@IzEa@bUgAbj@UfJc@pTPhi@JlMj@|\`D``BNnH~Alm@d@fKR`KfFtoAdAb^f@rTJtJWjaA?jZCr[h@`YdBra@b@fJd@`JNpFFpD`@|v@[tRInDMpD}@jYM|DuLztAgAbHoA|Ji@dE_AhHiFz`@qGbl@m@|Jy@dLoE`l@aEbh@eA~_@]pUAjKZdHt@zMx@xHnBzKbC~QhCp]zBzVbAnKfB~IbCbKjQfc@`DjIhLtZ|DpLpC|C`EvMtGhWbD~Md@fLjOrk@zDvGbEfQtHbYjAlEpC~KnJl^fQnr@rI`\?~IwFfG
2,"Christopher Street, Liverpool Street",osjfaBnhmFnCo~BJqMNc_@oAsPBsHFcJFsGZ_m@N}JeBU}By@qXaOkCqBmByEeBt@sBAyHeCoFgD{FoFkLmI_NoNaMgLaHyCuLiLqKaKkd@yb@iMuLeC}C_EqFsBqC{JaQwCiEsAyAmEeBcIwBiIc@{Bu@mB{BwAaF]{Er@iJfBiNHaI{@cGoAcFaBoKw_@awAg\ioAo[wjAgA}DgCeGcH{Sy@uEeIet@c@wEwA}RUkJAsHAiY@qHZk[JwUcMs^qD_Keh@CmC?yA?iIIaCVqXEkmA_Bi]]yIAcDb@oDdAiF|AsB~@yDdB{Bf@gBFuC[iDeB_DaDkBaC}CaEgA}AeHiI}DiM}@iMuAoRu@yNcAoNKsKAsHOeQBcGB}EDwHn@}ZLgFTwIl@a_@HyD|Amk@dAcj@d@mKVwILmHNgJT{I\}Oa@iCR_J^iDJoMa@kFe@qa@]qRm@wLS{DkA}K{Ce[g@cFwD}[{Di\[kC[qCmBcNmAkJqDa[iBaOqAwKw@eGkBkM}@aGu@yEw@uEm@yN}AuJcCkOcCiPcEyXy@kFeAyGgDkRgB{FmAoFwByL]sCQ}G^cLc@uEw@cCeEmBwKvDcUzMaVfO_E|BqBlAiEMgDqCuB_AkC_AyVgHqTaGsd@uMwMsDuh@uMwCu@}C{@iCi@cGmByAm@{Aw@oHmFiWgMwJwEyDQiB\aDk@i_@qP{IkHiE}Aqc@gKuNyCaSaE_Hm@{ZkEs]qENoFZgJ|Caz@b@}DdBaCzB_l@`ByDl@sHBgE
3,"St. Chad's Street, King's Cross",osjfaBnhmFu@xm@p@zOHvDKhUAzCE`EHzSMjJuDD}FGiFiBmQwAcZwCofAaReC[yzAwXeG_D_a@qHwOaFaNmEaGsAoF{BwEwBeFqDuFgDwBoAuBeAqDmBuQ}M{N_JcHiFyWkUoOoLgQaP_U_WiJyMuGsKuEoI{FpJoArEsBhCmBGqErBcQvP}GtGiRlVeE|EsH|GwBbCuHcXgKg_@_Jw\uF{SoCoJiBqGsEsMiBqCkBiBuCcB{OeB}M_BcHmBuGyCaEyCwJyIaDyDaD}EsHoO}BqFmIwNoDsBwCZoQtKicA~k@mCtAwDlBcX~OkVnNeY~PoOrI{BpAcM`HoY|PyTdMuAb@aBj@{EfAmFzAwRhG{BfAiHdFmCxAq\lL{BdAaDxCaFwJ_GkL{E}JoMsWgF}J_FoLmDuJqCuJoDoOaHa`@sNa|@kHkd@{AaIkFuTuBoMcF}_@mBsN{J{p@sBbAgv@la@uDzCkTbOaOlLqAzA}AzBaeAlx@iBdBcDvBeEhE{d@j]c_A`d@aYnNaAp@yGdDoEqUcBqIm]nT}CdBwBbAwD`ByAj@uVdKwIbGsFhF_GzGkGnFyC`DgJjHcGhEkB|AgUzPsPbM{`@zYwPnM|AlEdCnH
4,"Sedding Street, Sloane Square",osjfaBnhmFu@xm@p@zOHvDKhUAzCE`EHzSMjJGtHI`Fm@rJGfL\|KH`Ic@la@AdEDbDpA|FpCzBfD`@xHh@xDV`El@tB`@|BrBp@tBDdH?vIjA|[NfJb@~Fp@pJp@dHrBzLjClLlFjUpE~MdBlErEzNfDdK_@vH_ErAE~HW~O}@vBYta@SfTUxUE~i@LtON|[LjOiAhu@zArNZ|JPbLP`MNrKRxGb@~I`AhSYbHjArHbHd`@~A`LdDd]z@tKfFxj@f@|Cp@jCrNrPxEjIzRdf@jRnf@oIxLwGzMuBfHkAzGeB`MoC`Uu@jMaEhW_BvFgAhC}AjCmAtEcD|WgDr[o@zFlExCtJzGxMhF~IbGjDxBlG~EhAt@~CpBlKzGpNfJhHrEm@~CwD`SsFla@gE|YpKvGfKjGdGzDhCbGIjGen@bqBjCnO|LzTv@hBrOj[n{@baBv`@tr@zt@dwAbh@bbAd_@jr@ze@f~@`B`DhGhL~EvTlBtGiOlC
5,"Broadcasting House, Marylebone",osjfaBnhmFu@xm@p@zOHvDKhUAzCE`EHzSMjJGtHI`Fm@rJGfLk@tNWl_@EbHLzEKxMSfE}A~EcDv@oGe@kHo@iJq@yOkAsJs@uDSmFEgEC{SLkRNkKLgJTeKPuJ\{NdAkHf@mIdBgI~A}HjBcBd@oBd@yCp@oIrB}CbAaKvCgNzEuC~@yMpEcDfA{DvBgC`A{SpFsOvFyKrDwC~AiDnDmCrCoAtB}@bC?`AaA|F_AlBiAvAq@j@eAtBgBtEu@`D_@hEYhGiA|TYrGkDzn@_A|OyAxYeA|OQxFTfEb@`EfCnLpRrv@~CbL{BhBoG~F}DjEiC~D{BzGwRlQyD`Dqc@v^i^dZ{AnAwBfByCdCiM|LqBlBuAhAyEhEaB|AyAtAsIdHaAzIlAlG\|Cl@jLn@hFt@rIv@`P\bLDxEMjOe@vH{AbO}ArLcA|GwA~HkCfIiCbH_F`ImD~DyE~Dc`@x[}[pXeDjCyBnBoVpS_ClBa\jY_PxMgK~IkFbEgMdR}MvLeDvCcDrCcGzEeDbCuAdA}E|CmFxCkFhBqOdEo[bHcB\aE~@_Cd@uDv@y^`IsKlDuJ`DeHbC_DfAsWtIgS`HoGvB}E~AwFxBgBr@sBnAcBlBmAjBeBjEiBjFoB~EaBvE}CnJbC|BjAtBd@nGYzD_B{@qEv@
6,"Charlbert Street, St. John's Wood",osjfaBnhmFu@xm@p@zOHvDKhUAzCE`EHzSMjJGtHI`Fm@rJGfLk@tNWl_@EbHLzEKxMSfE}A~EcDv@oGe@kHo@iJq@yOkAsJs@uDSmFEgEC{SLkRNkKLgJTeKPuJ\{NdAkHf@mIdBgI~A}HjBcBd@oBd@yCp@oIrB}CbAaKvCgNzEuC~@yMpEcDfA{DvBgC`A{SpFsOvFyKrDwC~AiDnDmCrCoAtB}@bC?`AaA|F_AlBiAvAq@j@eAtBgBtEu@`D_@hEYhGiA|TYrGkDzn@_A|OyAxYeA|OQxFTfEb@`EfCnLpRrv@~CbL{BhBoG~F}DjEiC~D{BzGwRlQyD`Dqc@v^i^dZ{AnAwBfByCdCiM|LqBlBuAhAyEhEaB|AyAtAsIdHaAzIlAlG\|Cl@jLn@hFt@rIv@`P\bLDxEMjOe@vH{AbO}ArLcA|GwA~HkCfIiCbH_F`ImD~DyE~Dc`@x[}[pXeDjCyBnBoVpS_ClBa\jY_PxMgK~IkFbEgMdR}MvLeDvCcDrCcGzEeDbCuAdA}E|CmFxCkFhBqOdEo[bHcB\aE~@_Cd@uDv@y^`IsKlDuJ`DeHbC_DfAsWtIgS`HoGvB}E~AwFxBgBr@sDtCqBrCeBjEiBjFoB~EaBvE}CnJ}BxI{BfEaDxD_DrBgJvE}e@jQsZzKsFhBmC|@s~@rZyFjBcFdBwt@jV}E~A}GzB_a@fMsE|A_Bl@ZxGNjIMlJs@pIaAjI{AtH{CbJsBdFkDzFgD|D_BtAiBfAgCbAiEzAmBt@oBv@afAf`@dIb|@he@|uEhVheCp@bIDdJa@rIgA`Jg^hnAyW~~@y@zBoAnJaBnFgFzMqBrEmAzByBzAkGnDoKfDoCnCwKfH{j@z^cUz_@s_@`s@mUtb@kC|EqZxj@a[rk@sAbCsIxOgMdQgPf`@aXxWg|@~WqOxEwSSqSeIc`@}]mXgVuRtt@iGvWeCfPaDtN`AbAg_@dp@uGdQmf@`|@
7,"Lodge Road, St. John's Wood",osjfaBnhmFu@xm@p@zOHvDKhUAzCE`EHzSMjJGtHI`Fm@rJGfLk@tNWl_@EbHLzEKxMSfE}A~EcDv@oGe@kHo@iJq@yOkAsJs@uDSmFEgEC{SLkRNkKLgJTeKPuJ\{NdAkHf@mIdBgI~A}HjBcBd@oBd@yCp@oIrB}CbAaKvCgNzEuC~@yMpEcDfA{DvBgC`A{SpFsOvFyKrDwC~AiDnDmCrCoAtB}@bC?`AaA|F_AlBiAvAq@j@eAtBgBtEu@`D_@hEYhGiA|TYrGkDzn@_A|OyAxYeA|OQxFTfEb@`EfCnLpRrv@~CbL{BhBoG~F}DjEiC~D{BzGwRlQyD`Dqc@v^i^dZ{AnAwBfByCdCiM|LqBlBuAhAyEhEaB|AyAtAsIdHaAzIlAlG\|Cl@jLn@hFbA|Lh@vL\bLDxEMjOe@vH{AbO}ArLcA|GwA~HkCfIiCbH_F`ImD~DyE~Dc`@x[}[pXeDjCyBnBoVpS_ClBa\jY_PxMgK~IkFbEgMdR}MvLeDvCcDrCcGzEeDbCaDzBqCfBmFxCkFhBqOdEo[bHcB\s@jFkBfC`AvPW|KtCtb@nFtx@VtD^rFpIboAzCpb@v@zLfBfZjDxq@n@vM~@fPhApQrBr\f@|Fh@dGbCje@t@jNT~DL~Df@jNTbHrAb[NlDR|E}CdAiYfL}HbCmXjK_KhEyUfLsGxBgHzC{VjK`A~L?tHaBtFwDrFcDrBkDnAoEXkB?qBgFwVtK}LhFaLhE_LdEoDtA}V|Iq`@zP}l@rXG`EbAzN`B`Q`Dl]lCb[r@fIfEhd@hDj\|BhWd@bD~BhYr@bI~@nJhCnWnAhM~AdRlCnVnDj\zEnj@nAfNpBnT|E|h@dBxR}n@hUkd@dQoKzGgb@fTuKbGaErByEpEkApD}AlDcEzCc\lToLhHeXpNiMpJoL`JsB~CsS`\cXjc@wU~\{B|BmKnMmf@dr@kDxGwDvJyc@dpAkJ|Wu^zgAiBzEcEbLgFjN_CpFm\dy@ab@ciAuKwY}[}z@}IeWgAnB
8,"New Globe Walk, Bankside",osjfaBnhmFnCo~BJqMNc_@oAsPBsHFcJFsGZ_m@N}JeBU}By@qXaOkCqBmByEeBt@sBAyHeCoFgD{FoFkLmI_NoNaMgLaHyCuLiLqKaKkd@yb@iMuLeC}C_EqFsBqC{JaQwCiEsAyAmEeBcIwBiIc@{Bu@mB{BwAaF]{Er@iJfBiNHaI{@cGoAcFaBoKw_@awAg\ioAo[wjAgA}DgCeGcH{Sy@uEeIet@c@wEwA}RUkJAsHAiY@qHZk[JwU@sb@n@}E~AkH~@eDxFkO~Rwx@nJ}a@tCmLvCwNnUynAmRcE{GyAaHqLuE_Iy@kp@UcMoCi`AuVgb@{ByDeCeEcGaKi@_DFoC|D}c@gFw@
9,"Park Street, Bankside",osjfaBnhmFnCo~BJqMNc_@oAsPBsHFcJFsGZ_m@N}JeBU}By@qXaOkCqBmByEeBt@sBAyHeCoFgD{FoFkLmI_NoNaMgLaHyCuLiLqKaKkd@yb@iMuLeC}C_EqFsBqC{JaQwCiEsAyAmEeBcIwBiIc@{Bu@mB{BwAaF]{Er@iJfBiNHaI{@cGoAcFaBoKw_@awAg\ioAo[wjAgA}DgCeGcH{Sy@uEeIet@c@wEwA}RUkJAsHAiY@qHZk[JwU@sb@n@}E~AkH~@eDxFkO~Rwx@nJ}a@tCmLvCwNnUynAmRcE{GyAaHqLuE_Iy@kp@UcMoCi`AuVgb@{ByDeCeEcGaKi@_DFoC|D}c@`DkVzCaU|B_XXyHr@oTn@iFT}EXsGPwDPiMdAgJhCy\`Hcm@fl@f@
10,"Brunswick Square, Bloomsbury",osjfaBnhmFu@xm@p@zOHvDKhUAzCE`EHzSMjJuDD}FGiFiBmQwAcZwCofAaReC[yzAwXeG_D_a@qHwOaFaNmEaGsAoF{BwEwBeFqDuFgDwBoAuBeAqDmBuQ}M{N_JcHiFyWkUoOoLgQaP_U_WiJyMuGsKuEoI{FpJoArEsBhCmBGqErBcQvP}GtGiRlVeE|EsH|GwBbCuHcXgKg_@_Jw\uF{SoCoJiBqGsEsMiBqCkBiBuCcB{OeB}M_BcHmBuGyCaEyCwJyIaDyDaD}EsHoO}BqFmIwNoDsBwCZoQtKicA~k@mCtAwDlBcX~OkVnNeY~PoOrI{BpAcM`HoY|PyTdMuAb@aBj@{EfAmFzAwRhG{BfAiHdFmCxAq\lL{BdAaDxCgEnEaCdCgJnH_R|V{Q|Q{u@bbAsk@~u@gTjYmRbXki@ls@qDyPyE_Yo@sDoK_u@qIwm@k@sEg@aEuKem@uAaEmCu@kFnBaBS
