,name,valhalla_route
0,"River Street , Clerkenwell",isjfaBljmFfCi`CNqMNc_@sAsPFuHDcJFsG\}l@?kCNuFu@Cs@O}@Y{@]qXaOcAo@kAcA]o@e@y@e@mBcBr@yBAwHcCmFiD{FoFiLkIsKeLmAiAaMgL{EuBeAc@aLuKWSsKaKed@yb@sL}KUYiC{C}DqFqBqC}JaQwCiEsAyAmEeBgIwBgIc@eKA_IJsAR{Aj@{AnA_XbUi\~YaIpGg]~YioBrbB{KvJc_Atz@sKrJoSbPaM~I}ObLcBjAcAr@u@^qBx@{AZyAEG?qBIkBqCiBkBqCeB}OeB_N{AaHmByG{C}DyC}@i@wHmHgD}D_D{EqHmOaCqFoIwNs@{@yBy@yCZiQrKmcA`l@iCtAuDlBiX`PkVjNeY`QmOrI{BpAaMbHq\~RyQrJsAr@cBh@{EfAl@~FdE|h@ib@le@cUbWeAhAqLi^uJmYqB}FkAgDeFwJeEiI}@_BsE_KqMsWkF{J}EsLoDqJoCwJoDmOaHa`@wNa|@gHkd@{AaIkFwTsBmMcF}_@qBuNWoB}Iim@mJcm@u@iE}D}Qg@}Be@wBkAkGiBwIe@{B_@aCyBiPkKgOePgTsPiPsAcAeJmDca@}MuToHse@}OoM}EyMgGuY}MuJyBoS{EwNuOiCgEuYcl@}DyI}J}QsPiZyGzGu@dAu_@zf@{EtGgTt[{@n@yGfDiMrD}EbAsFnAeKlBgIvBqByGkAaG
1,"Phillimore Gardens, Kensington",isjfaBljmF}@~k@t@zOFvDGfUGzC?~DF|SOlJGtHE~Eu@tJGfL\zKNbI]~\GlC?dEFbDTnCt@lBbAlAjAj@fD`@`Ih@tDX|Dj@zB`@bAn@t@bAr@vBNbCG`D?vIsA|`@ObCe@zDkA`E{@rA{An@cBFqWmAeEhAqBPkAb@}@fAe@xAm@pBe@xCUxJyB`x@?vIu@xXGbEMzDGhIGtG?lGGvB?lLN`Gm@|HNjDlErgAnHtzA`Cj`@p\zzGjAvTfDro@fDzo@]bIF~Ee@fD}@`BeE`Dqa@mPuEoBe@Y_Iy@oSwNiM{K_DLqCl@_DbD_DtEkA~Cu@tDe@fLd@`]NdQOjLOxSwCj|BaChyAqGrnEl@lx@GhCGrGNfDd@tDbAdD`Sjr@l@dBxA`H|@vEl@zDTbDFnDGvEMjDWdC{@dDkBnCsAtAsAbBsAbAaCpA{OxH}J`H}DhD}@jAm@~Ae@rBOnBMjBGnB?xBF~ATzC|@vHz@lHjBtMvCrUjAbMxLbsAVhEvCnn@bAbR^lI_@vP`ClpAVxFfCrXnDxLpBpMfI`i@d@vBfDzSbBdOt@bITxGGjFUxKGtCTl]?xDF`BNjMFvG?~BG|CcAnK?|DOvWl@vlBu@n\]|GaCrm@]`NOdRMni@?jNGpIFjXm@da@GzE]`UmAbj@UhJ]nTLhi@FlMl@z\~Cd`BVlHxAnm@d@bKVbKbFvoAdA`^l@tTDrJUlaA?hZGr[l@bYbBra@d@fJd@`JLnFFrDd@zv@]tRGnDMrD}@jYO|DyLztAcA`HkA|Jm@dE}@hHkFz`@qGdl@m@|Ju@dLuE|k@}Dfh@cA|_@_@rUGhK^dHr@|M|@vHpB|K`C~QhCp]xBxVbAnKhB~I`CbKjQhc@~CjIjLtZ|DpLpCzCdExMpGfWfD|M\fLnOtk@|DvG|DfQxHdYjAlEnC~KtJj^bQpr@\jApHtYF~IkFbF
2,"Christopher Street, Liverpool Street",isjfaBljmFfCi`CNqMNc_@sAsPFuHDcJFsG\}l@?kCNuFu@Cs@O}@Y{@]qXaOcAo@kAcA]o@e@y@e@mBcBr@yBAwHcCmFiD{FoFiLkIsKeLmAiAaMgL{EuBeAc@aLuKWSsKaKed@yb@sL}KUYiC{C}DqFqBqC}JaQwCiEsAyAmEeBgIwBgIc@}@Q{@e@}@u@m@cAs@kBg@uBUeBGuBF}BTqBVyBhBkNNeB?gBGsBUwBe@iCmAeFaBoKiCcJwHiY{Qqq@a\ioAs[yjAUgAm@uBiCcGaH}S{@sEgIet@Gm@UkD{A{RWkJ?uH?gY?uH^g[D{UaMq^mD_Kgh@AqC?{A?gII_CTqXCmmAaBg]]sA?cG?gDb@{Ab@qA\mF`BqB~@wDdByBd@iBHcBKs@OgDeB_DcDkB_CcAsA{AmBcA}AiHmI}DeM}@iMsAqRs@wNeAoNMsK?wHOcQFaG?aFFsHj@_[NgFVuIj@a_@FyDjAmk@zAcj@NgKFoDL_EVqITqH\{I^}Oe@iCT_JNyALqAFmM]kFe@sa@_@sRk@uLWyDcA}K_De[e@cFwD_\}Dg\_@kCUqCqBeNkAkJoD_[iBaOsAyK_@cCU_CkBkMcAaGm@yE{@uEm@yN{AuJiCkO_CkP_EwX{@kFeA{GgDiRiB}FkAoF??yBwL]sCOoC?mCTwHFmBe@sEu@eC{@eAiCg@{KvD}TzMcVhOs@b@iCxAqBjAaC?kAKgDuCqB{@m@Y{Ae@{ViHuTaGsd@uMqMqDwh@wMsA[cAW_D}@iCi@cGmByAm@{Aw@}EqDsA{@iWeMuJyEaB]{AJcB^yAIeAa@m_@qPs@i@iHcGeE{Awc@iKoNyCgSaEyGm@{ZiEw]sELoF\eJ`Dcz@d@}D`BaCxB_l@l@mEd@_CVsE?qA
3,"St. Chad's Street, King's Cross",isjfaBljmFfCi`CNqMNc_@sAsPFuHDcJFsG\}l@?kCNuFu@Cs@O}@Y{@]qXaOcAo@kAcA]o@e@y@e@mBcBr@yBAwHcCmFiD{FoFiLkIsKeLmAiAaMgL{EuBeAc@aLuKWSsKaKed@yb@sL}KUYiC{C}DqFqBqC}JaQwCiEsAyAmEeBgIwBgIc@eKA_IJsAR{Aj@{AnA_XbUi\~YaIpGg]~YioBrbB{KvJc_Atz@sKrJoSbPaM~I}ObLcBjAcAr@u@^qBx@{AZyAEG?qBIkBqCiBkBqCeB}OeB_N{AaHmByG{C}DyC}@i@wHmHgD}D_D{EqHmOaCqFoIwNs@{@yBy@yCZiQrKmcA`l@iCtAuDlBiX`PkVjNeY`QmOrI{BpAaMbHq\~RyQrJsAr@cBh@{EfAl@~FdE|h@ib@le@cUbWeAhAqLi^uJmYqB}FkAgDeFwJeEiI}@_BsE_KqMsWkF{J}EsLoDqJoCwJoDmOaHa`@wNa|@gHkd@{AaIkFwTsBmMcF}_@qBuNWoB}Iim@mJcm@u@iE}D}Qg@}Be@wBkAkG_I|Em@`@qBnAsQlOmOrKuO`MaCzA}TvO_NhLeOnLiHhHil@xs@wXp^gDfEiCvCs@z@ka@fa@eJbHaa@pX}TzOi]nTsAp@kAr@yB`AqB~@cAb@{Aj@sVbKwIbGsFjFaGzGkGnFwC|CeJlH}@l@eEzCkB|AkU|PmPbMaa@vYwNrK{@|@xAlE
4,"Sedding Street, Sloane Square",isjfaBljmF}@~k@t@zOFvDGfUGzC?~DF|SOlJGtHE~Eu@tJGfL\zKNbI]~\GlC?dEFbDTnCt@lBbAlAjAj@fD`@`Ih@tDX|Dj@zB`@bAn@t@bAr@vBNbCG`D?vIjA|[NfJ\|Ft@rJt@dHpBzLfCjLlFjUrE~MbBjEtE|NfDdKvCdJNj@r@pBd@xBjBjHrAhGlElP?dE`Mle@zUxz@hMrf@p\rqAxBdIbAtGjLjr@vCx[t@bK|@zL~Gvz@jBhVjP|yBl@jGl@bI~Dff@z@nNrA`PhCtZxBxMpBpX\~LrAdVd@xJMrH_@hIe@vFaBjVeAnUqBzh@{@fS?nJW|DqMxg@kFbSsAtFmEnQ}m@bqBfCpOzLxTz@jBtOh[h{@baBz`@tr@zt@fwA~g@bbAd_@hr@ze@f~@bB~ChGjL|EvTpBtGrFhFvDcDhGkAbBKbAxAt@rFLjDl@dKl@|KjB`Xm@nFe@|CeAlBaB^{FnAsAOeAeA{@iCOkBM_D}@gBu@a@e@AiBVcAPgD?aMjBmF|@}NnDuEyz@O}C~]}F
5,"Broadcasting House, Marylebone",isjfaBljmF}@~k@t@zOFvDGfUGzC?~DF|SOlJGtHE~Eu@tJGfL\zKNbI]~\GlC?dEFbDTnCt@lBbAlAjAj@fD`@`Ih@tDX|Dj@zB`@bAn@t@bAr@vBNbCG`D?vIsA|`@ObCe@zDkA`E{@rA{An@cBFqWmAaBOcAY}@u@u@iAe@sAm@yCUsCFsHTkN?gEU{CWsC]yB]}Am@iAcAoAmAk@qBu@{@KmF_@mJu@uOiAuJs@uDSkFCgEC}SJiRNgILeA@eJPeKRsJ^_O`AiHj@oIbBgI`B_IhBcBd@qBf@wCn@oItB_D~@}JzCgNzEwC|@yMpE_DdA}DzBiC~@wSrFuOtF{KtDwC|AgDpD{@f@sAjBmArB{@bC?`AWtBk@hC}@lBkAvAm@h@kAtB}@hBe@jBs@bDe@hEWfGkA~TUrGoDzn@}@zO{AxYcA~OMvC?|ADbCNdANxBLhAhClLpRrv@~CbLyBjBsG~F}DjE{AlBm@lAs@rBeAjDwRlQwD`Duc@v^g^bZ{ApAyBdBwCfCiM|LqBlBsAhA}EhEaBzA{AvAoIdHu@~AMxB?`C\tBt@tC\~Cd@fLt@jFr@tINfBd@vL\bLFzEMhOg@vHyAdO{ApLcA~G{A|HiCfIiCbHcFbIgD~D}E|Dc`@z[y[nXgDlCm@f@kAfAsVpSyBlBa\jYePvMeK`JkF`EaMfR_NvLgDvC_DrCkGzE_D`C{AfAcAt@wCfBmFxCkFhBmObEs[bHaB^_E|@aCf@uDv@w^~HsKnDuJ~CkA^{EdBaDbAoWvIiSbHkA`@eErA}E`BsFvBiBr@qBnAeAdA]f@sAjBaBjEkBhFiB`FcBvE_DnJ`C|BjAvBd@hC?bCU|DcB_AcFbA
6,"Charlbert Street, St. John's Wood",isjfaBljmF}@~k@t@zOFvDGfUGzC?~DF|SOlJGtHE~Eu@tJGfL\zKNbI]~\GlC?dEFbDTnCt@lBbAlAjAj@fD`@`Ih@tDX|Dj@zB`@bAn@t@bAr@vBNbCG`D?vIsA|`@ObCe@zDkA`E{@rA{An@cBFqWmAaBOcAY}@u@u@iAe@sAm@yCUsCFsHTkN?gEU{CWsC]yB]}Am@iAcAoAmAk@qBu@{@KmF_@mJu@uOiAuJs@uDSkFCgEC}SJiRNgILeA@eJPeKRsJ^_O`AiHj@oIbBgI`B_IhBcBd@qBf@wCn@oItB_D~@}JzCgNzEwC|@yMpE_DdA}DzBiC~@wSrFuOtF{KtDwC|AgDpD{@f@sAjBmArB{@bC?`AWtBk@hC}@lBkAvAm@h@kAtB}@hBe@jBs@bDe@hEWfGkA~TUrGoDzn@}@zO{AxYcA~OMvC?|ADbCNdANxBLhAhClLpRrv@~CbLyBjBsG~F}DjE{AlBm@lAs@rBeAjDwRlQwD`Duc@v^g^bZ{ApAyBdBwCfCiM|LqBlBsAhA}EhEaBzA{AvAoIdHu@~AMxB?`C\tBt@tC\~Cd@fLt@jFr@tINfBd@vL\bLFzEMhOg@vHyAdO{ApLcA~G{A|HiCfIiCbHcFbIgD~D}E|Dc`@z[y[nXgDlCm@f@kAfAsVpSyBlBa\jYePvMeK`JkF`EaMfR_NvLgDvC_DrCkGzE_D`C{AfAcAt@wCfBmFxCkFhBmObEs[bHaB^_E|@aCf@uDv@w^~HsKnDuJ~CkA^{EdBaDbAoWvIiSbHkA`@eErA}E`BsFvBiBr@qBnAeAdA]f@sAjBaBjEkBhFiB`FcBvE_DnJyBxIaChE_DvD_DrBeJvEcf@jQmZ|KkA^gDdAoC`Au~@rZ{@V_ErA{EbB{t@jVmAb@oCz@yGzBca@hMsE|AcBj@\zGNjIGlJu@nIcAjI{AtHaCpHUr@yBbFgD|FgDzDcBvAiBfAiC`AtEtc@bBrQLfBd@vGhChj@zA~]\zI\dINrFt@pRFpCTfINlNr@zX^zLTzQ?tCOvB]nAe@x@u@h@gC|@_EnAcVnIuTpHyBu@jVheCt@dI?bJ_@tIkA~Ie^hnAyW`_Au@xBsAlJaBpFeFzMqBtEkAzByBzAkGlDsKfDoCnCuKfH{j@|^cUx_@u_@bs@kUtb@iCzEuZxj@c[rk@sA`CoI|OhMhqAlJt_@lEzEmDvE}Ut[mEbGiRzVoMzQaSnY_DpG}DhJ{AhE{@vCsB~GyAfG}@fBe@j@m@\kAL{ABu@?e@Qe@g@yAqFm@eBqCaFqBoC_DoD]_@yHyFiG_EsAcAaCeCyHwKaGiDgJiEsKaEoHaD_TwJo^ePaQ}H}JkFe_@fp@yGdQmi@r`A
7,"Lodge Road, St. John's Wood",isjfaBljmF}@~k@t@zOFvDGfUGzC?~DF|SOlJGtHE~Eu@tJGfL\zKNbI]~\GlC?dEFbDTnCt@lBbAlAjAj@fD`@`Ih@tDX|Dj@zB`@bAn@t@bAr@vBNbCG`D?vIsA|`@ObCe@zDkA`E{@rA{An@cBFqWmAaBOcAY}@u@u@iAe@sAm@yCUsCFsHTkN?gEU{CWsC]yB]}Am@iAcAoAmAk@qBu@{@KmF_@mJu@uOiAuJs@uDSkFCgEC}SJiRNgILeA@eJPeKRsJ^_O`AiHj@oIbBgI`B_IhBcBd@qBf@wCn@oItB_D~@}JzCgNzEwC|@yMpE_DdA}DzBiC~@wSrFuOtF{KtDwC|AgDpD{@f@sAjBmArB{@bC?`AWtBk@hC}@lBkAvAm@h@kAtB}@hBe@jBs@bDe@hEWfGkA~TUrGoDzn@}@zO{AxYcA~OMvC?|ADbCNdANxBLhAhClLpRrv@~CbLyBjBsG~F}DjE{AlBm@lAs@rBeAjDwRlQwD`Duc@v^g^bZ{ApAyBdBwCfCiM|LqBlBsAhA}EhEaBzA{AvAoIdHu@~AMxB?`C\tBt@tC\~Cd@fLt@jFr@tINfBd@vL\bLFzEMhOg@vHyAdO{ApLcA~G{A|HiCfIiCbHcFbIgD~D}E|Dc`@z[y[nXgDlCm@f@kAfAsVpSyBlBa\jYePvMeK`JkF`EaMfR_NvLgDvC_DrCkGzE_D`C{AfAcAt@wCfBmFxCkFhBmObEs[bHaB^_E|@aCf@uDv@w^~HsKnDuJ~CkA^{EdBaDbAoWvIiSbHkA`@eErA}E`BsFvBiBr@qBnAeAdA]f@sAjBaBjEkBhFiB`FcBvE_DnJyBxIaChE_DvD_DrBeJvEcf@jQmZ|KkA^gDdAoC`Au~@rZ{@V_ErA{EbB{t@jVmAb@oCz@yGzBca@hMsE|AcBj@\zGNjIGlJu@nIcAjI{AtHaCpHUr@yBbFgD|FgDzDcBvAiBfAiC`AtEtc@bBrQLfBd@vGhChj@zA~]\zI\dINrFt@pRFpCTfINlNr@zX^zLTzQ?tCOvB]nAe@x@u@h@gC|@_EnAcVnIuTpHyBu@jVheCt@dI?bJ_@tIkA~Ie^hnAyW`_Au@xBsAlJaBpFeFzMqBtEkAzByBzAkGlDsKfDoCnCuKfH{j@|^cUx_@u_@bs@kUtb@iCzEuZxj@c[rk@sA`CoI|OhMhqAlJt_@lEzEmDvE}Ut[mEbGiRzVoMzQaSnYdAlCpV~q@nIpVzAjEbKnZlAdDhW|q@
8,"New Globe Walk, Bankside",isjfaBljmFfCi`CNqMNc_@sAsPFuHDcJFsG\}l@?kCNuFu@Cs@O}@Y{@]qXaOcAo@kAcA]o@e@y@e@mBcBr@yBAwHcCmFiD{FoFiLkIsKeLmAiAaMgL{EuBeAc@aLuKWSsKaKed@yb@sL}KUYiC{C}DqFqBqC}JaQwCiEsAyAmEeBgIwBgIc@}@Q{@e@}@u@m@cAs@kBg@uBUeBGuBF}BTqBVyBhBkNNeB?gBGsBUwBe@iCmAeFaBoKiCcJwHiY{Qqq@a\ioAs[yjAUgAm@uBiCcGaH}S{@sEgIet@Gm@UkD{A{RWkJ?uH?gY?uH^g[D{U?qb@?cAt@yCzAkHbAeDrFkO`Swx@tJ}a@nCkLvCwNtUynAqReEyG{AaHoLuE_I{@mp@WaMoCg`AsVgb@}@{A{@}AiCgEaGaKe@}CDoC~D_d@mFq@
9,"Park Street, Bankside",isjfaBljmFfCi`CNqMNc_@sAsPFuHDcJFsG\}l@?kCNuFu@Cs@O}@Y{@]qXaOcAo@kAcA]o@e@y@e@mBcBr@yBAwHcCmFiD{FoFiLkIsKeLmAiAaMgL{EuBeAc@aLuKWSsKaKed@yb@sL}KUYiC{C}DqFqBqC}JaQwCiEsAyAmEeBgIwBgIc@}@Q{@e@}@u@m@cAs@kBg@uBUeBGuBF}BTqBVyBhBkNNeB?gBGsBUwBe@iCmAeFaBoKiCcJwHiY{Qqq@a\ioAs[yjAUgAm@uBiCcGaH}S{@sEgIet@Gm@UkD{A{RWkJ?uH?gY?uH^g[D{U?qb@?cAt@yCzAkHbAeDrFkO`Swx@tJ}a@nCkLvCwNtUynAqReEyG{AaHoLuE_I{@mp@WaMoCg`AsVgb@}@{A{@}AiCgEaGaKe@}CDoC~D_d@~CiVvCcU`C}WTyHt@oTl@kFT}E^sGLwDNiMbAgJpC{\xG_m@ro@h@
